ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
BaseNEncoder,abalone-3_vs_11,ABC,0.9985,5.0,1.0,2.0,1.0,2.0,0.9985,5.0,1.0,2.0,0.9951,8.0,0.9985,5.0,0.9976,7.0,aspect_ratio,7.0,PRE
BaseNEncoder,kddcup-land_vs_portsweep,ABC,0.99924,5.5,1.0,1.5,0.99924,5.5,0.99924,5.5,0.99924,5.5,0.99924,5.5,0.99924,5.5,1.0,1.5,aspect_ratio,7.0,PRE
BaseNEncoder,dataset_31_credit-g,ABC,0.7088599999999999,7.0,0.7147600000000001,5.0,0.7155600000000001,4.0,0.73746,1.0,0.71936,2.0,0.71692,3.0,0.69598,8.0,0.71318,6.0,aspect_ratio,7.0,PRE
BaseNEncoder,dresses-sales,ABC,0.5897600000000001,4.0,0.5571200000000001,8.0,0.5919800000000001,3.0,0.5695399999999999,6.0,0.5720000000000001,5.0,0.5975400000000001,1.0,0.5951000000000001,2.0,0.5608000000000001,7.0,aspect_ratio,7.0,PRE
BaseNEncoder,dermatology,ABC,0.56528,1.0,0.3297,3.0,0.17912,7.0,0.24722,6.0,0.14576000000000006,8.0,0.32758000000000004,4.0,0.5478400000000001,2.0,0.32753999999999994,5.0,aspect_ratio,7.0,PRE
BaseNEncoder,thyroid-hypothyroid,ABC,0.99016,1.0,0.98398,7.0,0.98622,5.0,0.98582,6.0,0.9865,4.0,0.9814,8.0,0.9873,3.0,0.98894,2.0,aspect_ratio,7.0,PRE
BaseNEncoder,credit-approval,ABC,0.8414399999999999,7.0,0.8460200000000001,4.0,0.8448399999999999,5.0,0.85082,2.0,0.8498600000000001,3.0,0.8394,8.0,0.84444,6.0,0.85244,1.0,aspect_ratio,7.0,PRE
BaseNEncoder,horse-colic-surgical,ABC,0.8303200000000001,1.0,0.8056000000000001,8.0,0.8238200000000001,4.0,0.81904,5.0,0.8265,3.0,0.8282400000000001,2.0,0.8157800000000001,6.0,0.81152,7.0,aspect_ratio,7.0,PRE
BaseNEncoder,heart,ABC,0.7417199999999999,8.0,0.7794800000000001,7.0,0.7951400000000001,6.0,0.8207200000000001,1.0,0.8002,3.0,0.8013600000000001,2.0,0.7960799999999999,4.0,0.7957,5.0,aspect_ratio,7.0,PRE
BaseNEncoder,hepatitis,ABC,0.8120200000000001,8.0,0.82406,6.0,0.84296,2.0,0.8467399999999999,1.0,0.8410399999999999,3.0,0.8332,5.0,0.8151599999999999,7.0,0.8402800000000001,4.0,aspect_ratio,7.0,PRE
