ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
HashingEncoder,abalone-3_vs_11,RF,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,0.9938,8.0,0.99896,6.5,0.99896,6.5,solid_angle,7.0,GEO
HashingEncoder,kddcup-land_vs_portsweep,RF,1.0,2.0,1.0,2.0,0.97272,7.0,0.97272,7.0,0.9995200000000001,4.5,0.97272,7.0,0.9995200000000001,4.5,1.0,2.0,solid_angle,7.0,GEO
HashingEncoder,dataset_31_credit-g,RF,0.4713600000000001,7.0,0.54438,1.0,0.51078,3.5,0.49256000000000005,6.0,0.5107799999999999,3.5,0.5114400000000001,2.0,0.49758,5.0,0.46306,8.0,solid_angle,7.0,GEO
HashingEncoder,dresses-sales,RF,0.50746,7.0,0.51612,6.0,0.5355000000000001,4.0,0.50008,8.0,0.54888,1.0,0.5332800000000001,5.0,0.5457799999999999,2.0,0.5357200000000001,3.0,solid_angle,7.0,GEO
HashingEncoder,dermatology,RF,0.9863799999999999,2.0,0.9883,1.0,0.6325000000000001,7.0,0.64944,3.0,0.6407200000000001,4.0,0.6361600000000001,6.0,0.63722,5.0,0.62976,8.0,solid_angle,7.0,GEO
HashingEncoder,thyroid-hypothyroid,RF,0.91142,8.0,0.9445,7.0,0.95194,5.0,0.95502,4.0,0.94904,6.0,0.9585,2.0,0.9567399999999999,3.0,0.96214,1.0,solid_angle,7.0,GEO
HashingEncoder,credit-approval,RF,0.8702200000000001,1.0,0.8631800000000001,2.0,0.81308,5.0,0.81914,3.0,0.81192,6.0,0.8084399999999999,8.0,0.81906,4.0,0.8101200000000001,7.0,solid_angle,7.0,GEO
HashingEncoder,horse-colic-surgical,RF,0.8287399999999999,2.0,0.8319799999999999,1.0,0.76618,7.0,0.7793599999999999,3.0,0.77452,6.0,0.7793399999999999,4.0,0.7767,5.0,0.7618600000000001,8.0,solid_angle,7.0,GEO
HashingEncoder,heart,RF,0.80166,2.0,0.8106199999999999,1.0,0.7793399999999999,4.0,0.7578,8.0,0.76564,6.0,0.7626999999999999,7.0,0.7771600000000001,5.0,0.7798,3.0,solid_angle,7.0,GEO
HashingEncoder,hepatitis,RF,0.6845600000000001,7.0,0.6745399999999999,8.0,0.7145199999999999,5.0,0.74264,2.0,0.73902,3.0,0.7496,1.0,0.7303799999999999,4.0,0.6988800000000001,6.0,solid_angle,7.0,GEO
